run_name,DLNTDR_1,DLNNDR_1,KY,NU_EE,MASS_1,DLNTDR_2,DLNNDR_2,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,BETAE_UNIT,MACH,SHIFT,S_KAPPA,S_DELTA,Q_electron,Q_ion,split
2019_03-isotope_d_a0_filtered,3.0,1.0,1.0049999952316284,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.089073,41.456722,train
2019_03-isotope_d_a1_filtered,3.0,1.0,1.0049999952316284,0.1,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.546071,38.088303,train
2019_03-isotope_d_a2_filtered,3.0,1.0,1.0049999952316284,0.167,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.522603,33.061234,train
2019_03-isotope_d_a3_filtered,3.0,1.0,1.0049999952316284,0.278,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,12.829037,30.474396,train
2019_03-isotope_d_a4_filtered,3.0,1.0,1.0049999952316284,0.464,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.554721,26.188017,train
2019_03-isotope_d_a5_filtered,3.0,1.0,1.0049999952316284,0.774,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,10.917664,25.119717,train
2019_03-isotope_d_a6_filtered,3.0,1.0,1.0049999952316284,1.0,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,9.253802,21.980736,train
2019_03-isotope_d_an0_filtered,3.0,0.0,1.0049999952316284,0.1,1.0,3.0,0.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,8.176785,29.704124,train
2019_03-isotope_d_an1_filtered,3.0,0.5,1.0049999952316284,0.1,1.0,3.0,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.241269,35.665146,train
2019_03-isotope_d_an2_filtered,3.0,1.0,1.0049999952316284,0.1,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.585198,34.886017,train
2019_03-isotope_d_an3_filtered,3.0,1.5,1.0049999952316284,0.1,1.0,3.0,1.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.433923,30.991877,ood
2019_03-isotope_d_an4_filtered,3.0,2.0,1.0049999952316284,0.1,1.0,3.0,2.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,17.831121,25.626547,train
2019_03-isotope_d_an5_filtered,3.0,2.5,1.0049999952316284,0.1,1.0,3.0,2.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,26.114647,27.857143,train
2019_03-isotope_d_an6_filtered,3.0,3.0,1.0049999952316284,0.1,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,35.965473,32.852715,train
2019_03-isotope_d_at0_filtered,1.25,1.0,1.0049999952316284,0.1,1.0,1.25,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,1.082628,2.141056,train
