run_name,DLNTDR_1,DLNNDR_1,DLNTDR_2,DLNNDR_2,NU_EE,MASS_1,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,BETAE_UNIT,MACH,KY,DRMAJDR,S_KAPPA,S_DELTA
2019_03-isotope_d_a0_filtered,3.0,1.0,3.0,1.0,0.05,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_a1_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_a2_filtered,3.0,1.0,3.0,1.0,0.167,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_a3_filtered,3.0,1.0,3.0,1.0,0.278,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_a4_filtered,3.0,1.0,3.0,1.0,0.464,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_a5_filtered,3.0,1.0,3.0,1.0,0.774,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_a6_filtered,3.0,1.0,3.0,1.0,1.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an0_filtered,3.0,0.0,3.0,0.0,0.1,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an1_filtered,3.0,0.5,3.0,0.5,0.1,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an2_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an2_q1_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.5,1.6,0.8,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
2019_03-isotope_d_an2_q3_filtered,3.0,1.0,3.0,1.0,0.1,1.0,3.0,0.5,3.0,1.5,1.0,0.0,0.0,0.0005,0.0,1.0049999952316284,0.0,0.0,0.0
