folder_name,experiment,run_name,DLNTDR_1,DLNNDR_1,KY,NU_EE,MASS_1,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,N_SPECIES,BETAE_UNIT
2019_03-isotope_h_at3_filtered,2019.03-isotope_h,at3,2.5,1.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_an0_filtered,2019.03-isotope_h,an0,3.0,0.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_at0_filtered,2019.03-isotope_h,at0,1.25,1.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_at1_filtered,2019.03-isotope_h,at1,1.5,1.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_at2_filtered,2019.03-isotope_h,at2,2.0,1.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_b2_filtered,2019.03-isotope_h,b2,3.0,3.0,0.095,0.167,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_a4_filtered,2019.03-isotope_h,a4,3.0,1.0,0.095,0.464,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_b4_filtered,2019.03-isotope_h,b4,3.0,3.0,0.095,0.464,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_a0_filtered,2019.03-isotope_h,a0,3.0,1.0,0.095,0.05,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_a2_filtered,2019.03-isotope_h,a2,3.0,1.0,0.095,0.167,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_a5_filtered,2019.03-isotope_h,a5,3.0,1.0,0.095,0.774,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_a1_filtered,2019.03-isotope_h,a1,3.0,1.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_a6_filtered,2019.03-isotope_h,a6,3.0,1.0,0.095,1.0,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_an4_filtered,2019.03-isotope_h,an4,3.0,2.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_b3_filtered,2019.03-isotope_h,b3,3.0,3.0,0.095,0.278,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_at5_filtered,2019.03-isotope_h,at5,3.5,1.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_a3_filtered,2019.03-isotope_h,a3,3.0,1.0,0.095,0.278,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_an5_filtered,2019.03-isotope_h,an5,3.0,2.5,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_an1_filtered,2019.03-isotope_h,an1,3.0,0.5,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_an3_filtered,2019.03-isotope_h,an3,3.0,1.5,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
2019_03-isotope_h_an6_filtered,2019.03-isotope_h,an6,3.0,3.0,0.095,0.1,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,2.0,0.0005
